"Data Source","World Development Indicators",

"Last Updated Date","2021-11-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Benin","BEN","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","464100000","1019900000","1926220000","7381510000","2770310000","2029540000","1561590000","2192180000","978300000","14892060000","","","3299610000","3850310000","8732760000","11721070000","20928930000","41616870000","47699530000","","51158550000","68457910000","65484860000","70419424536.4465","86178750000","77390500000","64416510000","89773660000",
"Bulgaria","BGR","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12000000","48300000","58140000","5600000","","144320000","102490000","129090000","82200000","721640000","1755120000","2803950000","5085620000","10324970000","21667660000","8880420000","8653170000","7376360000","8253250000","","","","","","","","16000060000","17710500000",
"Bahrain","BHR","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4711490000","7833200000","6769230000","7158840000","6624350000","6599500000","7484060265.18165","9626790000","13540850000","17364820000","21122390000","27088350000","19947350000","16262630000","20059730000","16589950000","","","22067530000","19251070000","19394198865.4608","21706180000","21862700000","26882280000","24608090000",
"Bahamas, The","BHS","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","574810000","534010000","1238750000","","","","",
"Belize","BLZ","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2146000000","2558000000","2153000000","2900700000","1849440000","2124780000","2703530000","2731110000","1912330000","1360190000","1534950000","1232340000","1486900000","1467000000","1601480000","1850000000","2521628651.46058","2718790000","2393200000","2965300000","220400000",
"Bolivia","BOL","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brazil","BRA","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","226152310000","186237610000","126761530000","234560040000","330346580000","474646880000","710247450000","1369711270000","591965550000","1337247680000","1545565660000","1228936230000","1227447020000","1020455330000","843894200000","490534110000","758558918034.702","954715100000","916824390000","1187361690000","988374320000",
"Barbados","BRB","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","326900000","515100000","491620000","765740000","1135000000","1753490000","2036020000","1706530000","1837300000","","","","","","","","","2186550000","4567520000","","3985460000","2683590000","2949090000","3096520000","3350920000","3541580000","3398000000","2780430000",
"Brunei Darussalam","BRN","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
