"Date","Chrome","Safari","UC Browser","Samsung Internet","Opera","Android","Firefox","KaiOS","QQ Browser","IEMobile","Puffin","Yandex Browser","Edge Legacy","BlackBerry","Whale Browser","Nokia","Unknown","mCent","Tizen","NetFront","Other"
2017-02,45.98,17.94,16.88,6.52,6.09,4.36,0.07,0,0.07,0.85,0.14,0.07,0.15,0.36,0,0.14,0.08,0,0.1,0.06,0.14
2017-03,47.1,18.01,16.97,6.29,5.52,4.12,0.06,0,0.07,0.77,0.07,0.06,0.14,0.29,0,0.14,0.09,0,0.11,0.06,0.14
2017-04,48.47,18.34,15.89,6.49,5.06,3.91,0.06,0,0.05,0.71,0.07,0.07,0.15,0.26,0,0.13,0.09,0,0.09,0.05,0.12
2017-05,49.23,17.73,15.89,6.58,5.03,3.75,0.06,0,0.05,0.68,0.06,0.07,0.15,0.26,0,0.12,0.08,0,0.09,0.04,0.12
2017-06,49.32,17.75,15.82,6.57,5.37,3.45,0.06,0,0.05,0.65,0.06,0.07,0.15,0.23,0,0.11,0.08,0,0.1,0.04,0.11
2017-07,50.07,17.19,15.55,6.54,5.58,3.41,0.06,0,0.05,0.62,0.06,0.08,0.15,0.22,0,0.11,0.06,0,0.1,0.03,0.11
2017-08,50.62,18.65,13.81,6.61,5.6,3.14,0.07,0,0.05,0.6,0.06,0.08,0.15,0.21,0,0.1,0.05,0,0.08,0.03,0.1
2017-09,51.78,17.74,13.54,6.55,5.84,2.89,0.16,0,0.08,0.57,0.06,0.09,0.14,0.2,0,0.11,0.06,0,0.08,0.03,0.1
2017-10,49.55,18.4,14.72,6.73,5.61,2.78,0.45,0,0.31,0.54,0.09,0.09,0.13,0.19,0,0.13,0.07,0,0.08,0.03,0.1
2017-11,49.58,18.76,15.19,5.94,5.54,2.59,0.68,0,0.29,0.49,0.12,0.08,0.13,0.17,0,0.15,0.07,0,0.09,0.03,0.11
2017-12,49.72,18.34,15.76,5.49,5.7,2.46,0.8,0,0.3,0.44,0.12,0.09,0.12,0.16,0,0.19,0.08,0,0.1,0.03,0.11
2018-01,50.88,18.1,15.17,5.48,5.57,2.38,0.82,0,0.29,0.42,0.11,0.1,0.11,0.13,0,0.18,0.07,0,0.07,0.03,0.1
2018-02,51.66,18.55,14.48,5.65,5.15,2.31,0.76,0,0.31,0.41,0.11,0.09,0.11,0.13,0,0.09,0.05,0,0.04,0.02,0.09
2018-03,52.53,19.24,13.49,5.27,5.05,2.17,0.45,0.43,0.29,0.38,0.12,0.08,0.1,0.12,0,0.08,0.05,0,0.03,0.02,0.08
2018-04,52.52,17.6,14.6,5.25,5.38,2.16,0.33,0.66,0.41,0.38,0.13,0.08,0.11,0.12,0,0.09,0.05,0,0.03,0.02,0.09
2018-05,53.26,17.35,14.89,4.98,5.01,2.03,0.3,0.74,0.44,0.34,0.12,0.08,0.1,0.09,0,0.08,0.06,0,0.03,0.02,0.07
2018-06,54.98,17.25,13.39,5.09,4.55,2.07,0.3,0.76,0.62,0.33,0.14,0.08,0.1,0.08,0,0.08,0.06,0,0.02,0.03,0.07
2018-07,55.98,17.7,12.49,5.12,4.26,1.95,0.31,0.76,0.5,0.31,0.14,0.09,0.09,0.07,0,0.07,0.06,0,0.02,0.02,0.06
2018-08,55.94,18.64,11.18,5.47,4.57,1.81,0.31,0.82,0.36,0.29,0.16,0.09,0.09,0.07,0,0.07,0.06,0,0.02,0.01,0.05
2018-09,57.44,18.94,9.71,5.47,4.41,1.67,0.32,0.85,0.28,0.27,0.17,0.11,0.09,0.06,0,0.06,0.06,0.05,0.01,0.02,0.04
2018-10,56.89,20.52,8.4,5.73,4.25,1.59,0.33,0.93,0.27,0.25,0.17,0.12,0.09,0.05,0,0.05,0.06,0.22,0.01,0.02,0.04
2018-11,53.1,22.47,8.88,6.19,4.52,1.72,0.37,1.12,0.28,0.28,0.19,0.14,0.1,0.05,0,0.06,0.06,0.39,0.01,0.02,0.05
2018-12,57.22,20.11,8.02,6.01,4.05,1.58,0.34,1.13,0.26,0.24,0.2,0.11,0.08,0.04,0,0.05,0.05,0.44,0.01,0.01,0.04
2019-01,56.34,20.87,7.31,7.43,3.62,1.51,0.34,1.1,0.3,0.21,0.2,0.09,0.08,0.04,0,0.05,0.05,0.4,0.01,0.01,0.04
2019-02,56.74,21.29,7.28,7.14,3.53,1.44,0.35,0.96,0.26,0.21,0.24,0.09,0.07,0.04,0,0.05,0.05,0.19,0.01,0.01,0.04
2019-03,59.24,20.54,6.55,6.78,3.2,1.33,0.35,0.84,0.23,0.2,0.25,0.13,0.07,0.04,0.01,0.04,0.04,0.11,0.01,0.01,0.03
2019-04,59.43,20.8,6.01,7.26,2.92,1.36,0.36,0.73,0.25,0.18,0.24,0.09,0.07,0.04,0.09,0.03,0.04,0.08,0,0.01,0.03
2019-05,59.68,20.74,6.11,7.1,2.89,1.16,0.39,0.77,0.27,0.17,0.25,0.09,0.06,0.03,0.11,0.03,0.04,0.06,0,0.01,0.03
2019-06,60.52,20.12,6.17,6.97,2.76,1.19,0.35,0.79,0.33,0.15,0.23,0.09,0.06,0.03,0.11,0.02,0.03,0.04,0,0.01,0.03
