"Date","Android","iOS","Unknown","Windows","Nokia Unknown","Samsung","Series 40","KaiOS","Tizen","BlackBerry OS","SymbianOS","Firefox OS","Linux","LG","Sony Ericsson","Other"
2021-02,71.9,27.33,0.14,0.02,0.02,0.39,0.02,0.14,0.01,0.01,0,0,0.02,0,0,0
2021-03,71.83,27.41,0.14,0.02,0.02,0.38,0.02,0.14,0.01,0.01,0,0,0.02,0,0,0
2021-04,72.19,27,0.14,0.02,0.02,0.39,0.02,0.17,0.01,0.01,0,0,0.02,0,0,0
2021-05,72.72,26.46,0.15,0.02,0.02,0.39,0.02,0.17,0.01,0.01,0,0,0.02,0,0,0
2021-06,72.83,26.35,0.14,0.02,0.03,0.41,0.02,0.18,0.01,0.01,0,0,0.02,0,0,0
2021-07,72.21,26.92,0.14,0.02,0.03,0.43,0.01,0.19,0.01,0.01,0,0,0.02,0,0,0
2021-08,72.74,26.42,0.14,0.02,0.02,0.42,0.01,0.19,0.01,0.01,0,0,0.02,0,0,0
2021-09,72.44,26.75,0.14,0.02,0.02,0.41,0.01,0.17,0.01,0.01,0,0,0.01,0,0,0
2021-10,71.09,28.21,0.13,0.01,0.02,0.38,0.01,0.11,0.01,0,0,0,0.01,0,0,0
2021-11,70.74,28.54,0.13,0.01,0.02,0.38,0.01,0.14,0.01,0,0,0,0.01,0,0,0
2021-12,70.01,29.24,0.12,0.01,0.02,0.43,0.01,0.13,0.01,0,0,0,0.01,0,0,0
2022-01,69.74,29.49,0.11,0.01,0.02,0.45,0.01,0.14,0.01,0,0,0,0.01,0,0,0
2022-02,70.66,28.57,0.1,0.01,0.01,0.43,0.01,0.17,0.01,0,0,0,0.01,0,0,0
